addressable_patients,peak_penetration,annual_price_usd,approval_prob,ramp_years,exclusivity_years,operating_margin,discount_rate,peak_revenue_musd,npv_if_approved_musd,rnpv_musd,synergy_musd
44677,0.4070091462095931,89018.07274724205,0.8740494519842468,6,12,0.6143227398861216,0.091067578499491,1618.6999725326261,5067.996134376734,4429.679243910265,250.14074898741063
40976,0.33558111054367806,75038.37380135646,0.8834338150980912,5,11,0.5921949384312523,0.09801405369644614,1031.8355383001567,3159.6520924447054,2791.3435024110927,238.8418316688124
46650,0.30404774136409995,81447.84316319536,0.8749768464992651,5,11,0.6333247340938846,0.09348035247085384,1155.2421279156474,3864.93239581825,3381.7263596259018,268.77577650869034
57492,0.30859140230098897,92061.05693630091,0.8800640290069842,4,11,0.5839847689936453,0.11921159731569958,1633.3046387885881,4629.659000091418,4074.3963525489,135.32745980102106
49118,0.3051059646335814,77410.61439289284,0.8671275642490666,6,11,0.5484105062306545,0.09886422147414102,1160.0905446247789,3177.399634598454,2755.210805795232,447.1147558383203
45318,0.27210091241936346,86052.42485300747,0.8168804905540563,5,13,0.6643079947997246,0.10757052421784956,1061.1184013033437,3676.91272678145,3003.598271977684,128.8112733216115
42000,0.23362561854841413,82099.53093485317,0.8594723745631052,5,12,0.6476489780089183,0.10628885207446222,805.5832552819687,2883.1955776368122,2478.0269494413546,366.12221070047144
43307,0.28606298648433054,78623.81137191388,0.8119285917586639,4,13,0.6549273676827824,0.11831622689390035,974.033426685683,3745.7279731227736,3041.263638328608,431.2174534504284
50739,0.24302460102490503,82700.77075790768,0.832471655973767,6,13,0.5662198890122419,0.10332018269239587,1019.768750718055,2990.0194394596188,2489.1064341607034,264.2601978161043
48856,0.33807184613849883,86438.43683303718,0.849999683161092,6,12,0.6416981615028581,0.09532320368092313,1427.6896680799582,4762.136742546829,4047.814722334599,450.4910572809829
47173,0.35732459467742284,84906.64343049689,0.8689700568897558,6,11,0.5371569785436648,0.1007879056270987,1431.1925887406856,3811.142568528823,3311.7687745894614,552.29149835571
45974,0.3220266978980162,88294.54139692755,0.8356078114336373,6,12,0.5726445002781247,0.1161556692565684,1307.1879187999043,3187.324557553259,2663.353297865765,120.14047233509066
43511,0.2634864724279914,94375.40610836283,0.8913132963487771,4,11,0.5310545451884652,0.10156728725641476,1081.97249658738,3271.9893924941643,2916.367651042206,282.2300035823026
53384,0.2900479068337063,77412.12382622572,0.8569412884162316,5,11,0.5964735108120706,0.08304727577801822,1198.6429356055378,4239.546442511612,3633.0423907463523,488.76358833603405
52773,0.21318344656301105,85162.08525971067,0.8616314865036849,4,12,0.5655807664757072,0.09273968767315756,958.1015648289405,3321.383087169679,2861.8082466462088,177.6360616750565
42395,0.321270924324185,83480.5888957463,0.8243006059326046,5,13,0.6188869517293016,0.08,1137.029065175153,4512.580789134977,3719.7230788037923,237.51775321151115
43439,0.2303673127534084,86744.96134637675,0.8676341563958822,5,11,0.6942209643761876,0.08360281672911671,868.0503829293885,3554.339339982401,3083.866214790327,403.9718860165226
46737,0.30609679875517337,85815.56804387632,0.8736354228815586,6,13,0.6674619168225828,0.0913591881780789,1227.6814711106058,4473.576005983971,3908.2744657806006,263.0900234845459
48258,0.33277101106609147,85546.57853079906,0.8286642095215465,4,11,0.7360303880556871,0.1062145620891685,1373.7808234142444,5643.248868464837,4676.358362719776,519.5321102737844
44027,0.2742026023070533,88599.00397320953,0.8914527323911251,6,11,0.5648345459459718,0.1282490160752631,1069.5953479469324,2754.893864490935,2455.85766294799,595.966710663816
40863,0.2923399089032281,77145.84386607104,0.905763874537641,5,12,0.5824630222860241,0.09716307780701125,921.5754328622389,3413.4923656599676,3091.81807082483,668.2267082021174
46537,0.28075103324887074,98701.60286932925,0.9135765697874223,4,13,0.5335975131389721,0.1228609088417046,1289.5671213316896,3734.4927274750025,3411.745055862688,255.98946416067992
49863,0.3878842592270014,92871.80884931548,0.88856365433209,6,13,0.6591828986629856,0.12154031198194067,1796.2404176787538,5286.474736080101,4697.369310025605,353.46183416809737
44647,0.40261861222132356,96557.43214153922,0.8508299210122438,5,12,0.6829608435392519,0.12487658492271302,1735.6887055586974,5301.033045100377,4510.277527046048,205.06217477598096
