peak_sales_musd,approved,time_to_peak,exclusivity_years,operating_margin,discount_rate,npv_musd
833.5990487346343,0,6,10,0.5901096786723022,0.14212487648324917,0.0
744.8564305865463,1,4,12,0.6265262807032524,0.11813840065378947,2332.734501841056
777.9228167632306,1,5,11,0.5280447092471988,0.11905161837557197,1789.1038877736453
714.80671021758,0,6,11,0.6611039450782372,0.09848035247085385,0.0
835.5305344519998,0,4,12,0.6708505554831588,0.12248692785681735,0.0
851.3660639546033,1,4,11,0.6199873074947044,0.12421159731569958,2423.4417430644644
743.7576144138413,1,6,12,0.7065114096948518,0.11559678372094127,2295.486186928639
774.9112437521118,1,5,11,0.5811030348088759,0.10470325021989398,2120.907803034267
879.4694734957291,1,5,11,0.5410832876588146,0.09434155387647748,2375.0788197273423
1009.1656584864614,1,6,11,0.5995457328567446,0.0862505867969467,2937.810028680106
806.273519380766,1,5,10,0.6671809144784231,0.083554397669559,2633.153922608379
762.6196263878044,1,4,10,0.679106139735652,0.12331622689390036,2244.60529664726
925.395608315859,1,4,11,0.608039123838868,0.10536181436223178,2849.925828237814
975.8997800606472,1,5,10,0.6411133939364673,0.10384425036970549,2749.863683091451
821.0745421809079,1,5,12,0.5477788489090043,0.12604221329295395,1995.4161035671168
1043.587330600956,1,4,11,0.6110149059670061,0.09734155459484112,3371.5130007438233
710.3243156484914,1,5,11,0.5809641487863874,0.10578790562709871,1932.0493039610278
991.7105938388752,1,4,11,0.6648825224254173,0.09457826344118693,3539.005250898621
872.4744470865705,1,4,12,0.6095753198553406,0.10247364434623195,2900.479821719742
1011.0673619447813,1,4,10,0.662855843502814,0.11471769343794758,3028.487627565858
779.5812690929642,0,6,11,0.6336187408360999,0.09707602918627507,0.0
997.6193361708243,1,6,11,0.6064847522719463,0.10240035170552714,2673.156669069449
871.0569059345472,1,4,12,0.604650638729756,0.09773968767315756,2950.835165389255
773.0698736310546,1,4,10,0.6492258329994111,0.10958935331622262,2325.9651750155394
799.0598727205753,1,6,10,0.6279116988386994,0.10873752372228233,1976.711778928411
826.2282960321681,1,5,11,0.5250620429180645,0.13220492841758244,1762.1672290905713
875.7244385148582,1,6,12,0.5839061524683281,0.09997629951301382,2453.94151018015
951.182066244482,1,5,11,0.7109025218878255,0.10415812963544777,3194.490076162257
949.3807003095619,1,6,11,0.6894836402375336,0.11647234194894562,2670.2258654481802
821.2784325832346,1,5,12,0.6231919949910489,0.12644793284742323,2265.5496935852166
743.0370334771475,0,6,11,0.6740989569501448,0.12389684537930483,0.0
927.4074550120628,1,6,11,0.5986144567955756,0.12111860952567827,2206.8434567988693
775.482841211993,0,4,11,0.7000242803881053,0.1122863129338889,0.0
780.3212943103472,1,6,12,0.6357255349506835,0.12597938703268924,2039.2634655260208
987.6351305372003,0,4,11,0.6926998893247451,0.13682890785988194,0.0
833.0449370798244,0,4,10,0.6007309101437156,0.09359089386397289,0.0
859.441373628902,1,4,10,0.5834962967242607,0.10962068561643308,2323.676761588552
831.6099959045684,1,6,10,0.6709059260977793,0.08170207931321544,2548.4439762998168
864.9289121230781,1,5,11,0.6657945453576158,0.11088921926079794,2621.5679823128157
859.7053729438353,0,6,11,0.715017257399827,0.08984714353898851,0.0
907.0076600279139,0,4,12,0.7239924387599277,0.11595161421906694,0.0
712.6445485090206,0,5,10,0.6803487854784313,0.10476648225840873,0.0
931.5314927455552,0,4,10,0.7559443106114996,0.13319805133207263,0.0
1052.960688440998,1,4,10,0.6195313312057793,0.09779718354559966,3206.9891941870974
859.3633150496074,1,5,12,0.59261400135875,0.13084404242219885,2199.886953643197
801.2439367917818,1,5,10,0.6724887019244367,0.13668386515828942,2006.586849980815
813.3582349571085,1,5,10,0.6133524432478139,0.11293019708820459,2092.1803377025744
671.6017973710248,1,4,11,0.6616148079088203,0.11264271383078482,2165.798476780096
824.4120526702161,1,5,12,0.5899934131134918,0.12802070666326537,2134.25019098542
768.125973035133,0,5,11,0.6293619193404947,0.11893465477706482,0.0
709.1195914959508,1,6,10,0.728019007056644,0.11192826500106622,1999.6794199779608
789.3696253662034,1,5,10,0.6312739220454765,0.09063175830295725,2348.135754583167
916.138975612854,1,4,11,0.5487428706671197,0.11279681472154142,2448.3929444978726
948.2055564636148,1,5,12,0.6133653899348078,0.10132584629053794,2973.821294182439
735.3145180819056,1,4,10,0.6332876454424816,0.10523229640234125,2205.2820944617756
800.0728517581164,1,4,10,0.6688648132730205,0.13477026479719234,2196.241410347899
890.9990046707064,1,5,12,0.6381304019396665,0.13808008520708456,2360.4494667064973
743.8353582536463,1,6,10,0.7556556078479102,0.10252390065940331,2289.4980750755412
715.7670371670569,0,5,12,0.8,0.11126245281511882,0.0
911.4421151404451,1,6,11,0.6534901042495009,0.1042202960470736,2604.176512778389
1017.9994034186807,1,5,12,0.6192433161114335,0.14166976462424377,2566.6277373676876
873.9068528195573,0,6,10,0.6640495933867516,0.1006595072026911,0.0
730.0436028763112,1,5,11,0.6188881417546861,0.1046676703862546,2128.4486576908193
915.291936027327,1,4,10,0.6185149571367444,0.12315131974928488,2455.551561216229
776.3707202645259,1,6,10,0.6192377392115255,0.11574199200726179,1825.0576038490847
800.0049346836611,1,6,11,0.5732967440650536,0.11544604405005963,1881.7001036180116
910.2173288700405,1,6,10,0.6816426218691356,0.07618761980723578,2923.49948287845
862.0149877657129,1,4,12,0.6696020944866298,0.10813212128609474,3049.2799313970877
909.3081392605708,1,5,12,0.7061770890845759,0.1421480778217083,2607.6976302663265
788.3673030458447,0,4,12,0.6493876613576542,0.09654118442771253,0.0
721.974220395208,1,4,12,0.6345453745401539,0.12205719577064388,2241.72414873109
752.645172699375,1,5,11,0.6088889802216785,0.11365530817237869,2055.048885159551
737.0035203330864,1,5,10,0.6779554601307264,0.12308812387145719,1990.335904183614
735.5651229051357,1,6,10,0.7077177169204463,0.1028392740413702,2116.810799910396
1022.9640665382972,0,5,12,0.5330201718178301,0.10472694802069325,0.0
917.8516840137528,1,6,12,0.5706768190786833,0.10366734237573505,2457.7909577545424
840.9664572911367,1,4,12,0.7135569112990457,0.12156294652196059,2944.2039565015284
883.50285469187,0,6,10,0.6528706473878185,0.0973383840138688,0.0
848.1671638909687,1,4,10,0.6612046240905208,0.11018888601172692,2591.3061371046506
